측정소명,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
복정동,20230725,0.0028,0.0115,0.4,0.0207,22,9
상대원동,20230725,0.0017,0.0152,0.4,0.0154,17,8
성남대로,20230725,0.0025,0.0208,0.43,0.0137,22,7
운중동,20230725,0.0014,0.0049,0.25,0.0226,16,6
수내동,20230725,0.0012,0.0117,0.53,0.0171,21,10
정자동,20230725,0.0014,0.0068,0.49,0.0189,14,9
단대동,20230724,0.0014,0.0137,0.54,0.035,20,10
복정동,20230724,0.0031,0.0121,0.46,0.0338,27,9
상대원동,20230724,0.0015,0.0183,0.46,0.0277,22,10
성남대로,20230724,0.0019,0.0256,0.52,0.022,25,10
운중동,20230724,0.0013,0.007,0.38,0.0326,18,9
수내동,20230724,0.0017,0.0132,0.61,0.0298,25,13
정자동,20230724,0.0013,0.0078,0.57,0.0328,17,10
단대동,20230723,0.0012,0.0069,0.37,0.011,9,3
복정동,20230723,0.0018,0.0055,0.32,0.0105,14,4
상대원동,20230723,0.0012,0.0058,0.28,0.0095,7,2
성남대로,20230723,0.0014,0.0108,0.36,0.0082,12,3
운중동,20230723,0.001,0.0024,,0.0128,6,3
수내동,20230723,0.001,0.0069,0.44,0.0083,11,5
정자동,20230723,0.0011,0.0025,0.4,0.0116,7,4
단대동,20230722,0.0018,0.0071,0.46,0.0378,28,16
복정동,20230722,0.0023,0.0057,0.4,0.0381,31,14
상대원동,20230722,0.0019,0.009,0.37,0.0325,22,14
성남대로,20230722,0.0023,0.0134,0.38,0.0285,29,15
운중동,20230722,0.0015,0.0055,0.24,0.0343,24,15
수내동,20230722,0.0014,0.0083,0.51,0.0333,30,17
정자동,20230722,0.0015,0.0027,0.48,0.0409,22,17
단대동,20230721,0.0016,0.0168,0.69,0.0634,61,39
복정동,20230721,0.0028,0.0195,0.6,0.0603,64,37
상대원동,20230721,0.0017,0.027,0.62,0.0521,53,37
성남대로,20230721,0.0021,0.037,0.61,0.0468,67,37
운중동,20230721,0.0014,0.0142,0.45,0.0634,49,33
수내동,20230721,0.0011,0.0215,0.73,0.0578,61,38
정자동,20230721,0.0014,0.0104,0.74,0.0649,51,39
단대동,20230720,0.0017,0.0194,0.67,0.0579,62,36
복정동,20230720,0.003,0.0201,0.7,0.0573,67,34
상대원동,20230720,0.0017,0.0281,0.64,0.0475,52,34
성남대로,20230720,0.002,0.0379,,0.0296,67,33
운중동,20230720,0.0014,0.0127,0.48,0.0603,50,31
수내동,20230720,0.0012,0.0222,,0.0531,62,36
정자동,20230720,0.0014,0.0136,0.72,0.0616,48,35
단대동,20230719,0.0012,0.0134,0.53,0.0335,32,13
복정동,20230719,0.0025,0.0129,0.58,0.0344,38,12
상대원동,20230719,0.0015,0.0213,0.46,0.0264,33,13
성남대로,20230719,0.002,0.0271,0.57,0.0231,36,11
운중동,20230719,0.0012,0.0096,0.33,0.0351,27,12
수내동,20230719,0.0014,0.0155,,0.0242,34,15
정자동,20230719,0.0013,0.0114,0.62,0.0299,27,15
단대동,20230718,0.001,0.0094,0.37,0.0102,9,4
복정동,20230718,0.0011,0.0093,0.38,0.0082,16,3
상대원동,20230718,0.0013,0.0106,0.3,0.0066,7,2
성남대로,20230718,0.0011,0.0143,0.45,0.0061,13,1
운중동,20230718,0.001,0.0071,0.26,0.0095,8,3
수내동,20230718,0.0013,0.0099,0.41,0.007,10,3
정자동,20230718,0.0011,0.0048,0.5,0.0091,8,3
단대동,20230717,0.0014,0.0147,0.47,0.025,29,14
복정동,20230717,0.0019,0.0141,0.41,0.0243,33,11
상대원동,20230717,0.0014,0.0175,0.42,0.0175,25,11
성남대로,20230717,0.001,0.0241,0.5,0.0149,31,9
운중동,20230717,0.001,0.0097,0.28,0.0197,22,9
수내동,20230717,0.0015,0.014,0.56,0.0176,30,13
정자동,20230717,0.0011,0.0081,0.61,0.0217,23,12
단대동,20230716,0.0013,0.0097,0.46,0.0321,30,13
복정동,20230716,0.0021,0.0089,0.37,0.0322,33,10
상대원동,20230716,0.0014,0.0102,0.41,0.0265,25,10
성남대로,20230716,0.0024,0.018,0.43,0.022,31,8
운중동,20230716,0.0012,0.0041,0.27,0.0333,26,11
수내동,20230716,0.0012,0.0105,0.56,0.0252,30,13
정자동,20230716,0.0012,0.0054,0.64,0.0297,26,12
단대동,20230715,0.0014,0.0094,0.45,0.0363,15,8
복정동,20230715,0.0019,0.0079,0.4,0.039,19,7
상대원동,20230715,0.0012,0.0099,0.37,0.0331,12,6
성남대로,20230715,0.0012,0.0194,0.47,0.025,20,6
운중동,20230715,0.0011,0.0033,0.29,0.0436,16,6
수내동,20230715,0.0013,0.0102,0.52,0.0331,16,8
정자동,20230715,0.001,0.0062,0.57,0.0367,14,6
단대동,20230714,0.0014,0.0143,0.46,0.0225,10,6
복정동,20230714,0.002,0.0114,0.37,0.0255,13,5
상대원동,20230714,0.0012,0.0141,0.4,0.0213,7,3
성남대로,20230714,0.0013,0.024,0.46,0.0142,15,4
운중동,20230714,0.001,0.0048,0.27,0.0341,6,4
수내동,20230714,0.0009,0.0129,0.52,0.0229,11,6
정자동,20230714,0.0011,0.0081,0.55,0.0263,6,4
단대동,20230713,0.0012,0.0132,0.44,0.0215,22,12
복정동,20230713,0.002,0.0134,0.45,0.0184,30,11
상대원동,20230713,0.0013,0.0161,0.41,0.015,18,11
성남대로,20230713,0.0022,0.0217,0.45,0.0113,28,9
운중동,20230713,0.0011,0.0106,0.26,0.0192,17,9
수내동,20230713,0.0011,0.0141,0.52,0.0144,24,12
정자동,20230713,0.0011,0.0068,0.57,0.0181,19,11
단대동,20230712,0.0012,0.0163,0.45,0.0367,27,13
복정동,20230712,0.002,0.0175,0.46,0.0315,32,13
상대원동,20230712,0.0014,0.021,0.41,0.0309,21,12
성남대로,20230712,0.0018,0.0299,0.48,0.0232,31,13
운중동,20230712,0.0012,0.0117,0.31,0.037,20,12
수내동,20230712,0.0016,0.0173,0.54,0.03,28,13
정자동,20230712,0.0012,0.0096,0.58,0.0373,21,14
단대동,20230711,0.0015,0.0146,0.46,0.0418,18,9
복정동,20230711,0.0032,0.0146,0.43,0.0382,22,7
상대원동,20230711,0.0014,0.0181,0.39,0.0344,15,6
